otu_id	lineage	cancer	control	adenoma
43768	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii	1.127512884347897e-06	2.8271874012668867e-06	2.63564751111876e-05
1262870	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister sp. CAG:486	0.0023461411398551	0.0013570402917611	0.0007210968678101
43997	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Catonella;s__Catonella morbi	1.3912818537522373e-05	0.0	0.0
36841	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus	1.92939446475438e-05	6.539853363228679e-06	6.53960968562703e-05
1531429	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Berryella;s__Berryella intestinalis	1.551792282522895e-05	0.0	0.0
200	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter curvus	0.0001435292135547	1.9995463963429224e-05	5.300521473061022e-05
1262838	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:768	4.434296109234157e-06	0.0001338822286682	0.0
1262815	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:508	0.0001987466879801	9.84235623692584e-05	5.107231186066773e-05
1080071	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus orisasini	0.0	0.0	4.015534034432e-06
1262785	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:253	0.0004559487661449	0.0009035211240919	0.0011545718722794
1262868	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Cryptobacterium;s__Cryptobacterium sp. CAG:338	0.0007335419566407	0.0021761951857592	0.0013452408118198
1262959	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus sp. CAG:488	6.313039113997534e-05	9.047587179141668e-05	2.146668759803116e-05
1807751	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;s__Bacteroidales bacterium H3	4.875106301830946e-05	4.775531326712231e-05	2.805543942311189e-06
1262833	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:710	0.0003531656722508	0.0006454468513602	0.0005905975260949
1624	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	0.0001668673089639	0.0001444727241631	0.0001708610383231
1560201	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Erwinia;s__Erwinia iniecta	3.862971886346957e-07	2.8366140513124767e-06	0.0
1284775	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. S7-1-8	1.6609127918926827e-06	3.0621653096217306e-06	0.0
1262837	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. CAG:762	0.0001410132559487	0.0002588208128172	6.615077188600339e-05
28128	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella corporis	7.857777507018577e-05	4.841039866862909e-05	2.272649824028593e-05
691	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens	5.297820020883697e-06	4.357008839490317e-06	2.761770018699632e-06
45634	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus cristatus	0.0001347661492996	0.0001668476705823	0.0001193304088934
39486	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans	0.0057965723003176	0.0048744283774114	0.0055643660153643
1650661	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium phoceensis	0.0029684115767925	0.0021187457956218	0.0020761446372381
84135	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;g__Gemella;s__Gemella sanguinis	0.0003260301521262	0.0003376536137087	0.0003977720458687
1658672	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ottowia;s__Ottowia sp. oral taxon 894	0.0	0.0	1.7261115375237346e-06
1871002	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus timonensis	0.0	6.362179876925973e-06	0.0
